,SNumber,Stamp,ICount,FwStamp,FwPC,FwWrMAC,FwFile,FwPass,BatPC,BatStamp,BatSn,BatPass,RfTxStamp,RfTxPC,RfTxPower,RfTxModul,RfTxCFOD,RfTxPass,PcbStartTime,PcbStopTime,PcbSleepCurr,PcbMaxSleepCurr,PcbMinSleepCurr,PcbBatVolt,PcbMaxBatVolt,PcbMinBatVolt,PcbIrCurr,PcbMaxIrCurr,PcbMinIrCurr,PcbIrPwr,PcbMaxIrPwr,PcbMinIrPwr,PcbWirelessVolt,PcbMaxWirelessVolt,PcbMinWirelessVolt,PcbUsbCurr,PcbMaxUsbCurr,PcbMinUsbCurr,PcbWirelessUsbVolt,PcbMaxWirelessUsbVolt,PcbMinWirelessUsbVolt,PcbLed,PcbMaxLed,PcbMinLed,PcbPass,SemiAssyStartTime,SemiAssyStopTime,SemiAssyBatVolt,SemiAssyMaxBatVolt,SemiAssyMinBatVolt,SemiAssySolarVolt,SemiAssyMaxSolarVolt,SemiAssyMinSolarVolt,SemiAssySolarVoltUsb,SemiAssyMaxSolarVoltUsb,SemiAssyMinSolarVoltUsb,SemiAssyUsbVolt,SemiAssyMaxUsbVolt,SemiAssyMinUsbVolt,SemiAssyUsbCurrent,SemiAssyMaxUsbCurrent,SemiAssyMinUsbCurrent,SemiAssyPass,BatadcPC,BatadcStamp,BatadcLevel,BatadcBtVer,BatadcVoiceTh,BatadcVoiceLvl,BatadcVoiceFreq,BatadcRssiRx,BatadcRssiTx,BatadcOffRaw1,BatadcOffBase1,BatadcOnRaw,BatadcOnBase,BatadcOnDiff,BatadcOffRaw2,BatadcOffBase2,BatadcSar,BatadcPass
8,IDSRBN5901480KSMJNY9C1569,2025-09-13 6:58,2,,,,,,,,,,2025-09-13 6:58,BT-A1-2360,"-27,00","100,00","15,00",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,IDSRBN5901480KSMJNY9C1568,2025-09-13 6:58,2,,,,,,,,,,2025-09-13 6:58,BT-A1-2360,"-23,00","100,00","35,00",O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,IDSRBN5901480KSMJNY9C1575,2025-09-13 6:58,2,,,,,,,,,,2025-09-13 6:58,BT-A1-2360,"-21,00","100,00","9,00",O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,IDSRBN5901480KSMJNY9C2082,2025-09-13 6:57,2,,,,,,,,,,2025-09-13 6:57,BT-A3-2360,"-16,00","100,00","-13,00",O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,IDSRBN5901480KSMJNY9C2083,2025-09-13 6:57,2,,,,,,,,,,2025-09-13 6:57,BT-A3-2360,"-5,00","100,00","-4,00",O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,IDSRBN5901480KSMJNY9C2084,2025-09-13 6:57,2,,,,,,,,,,2025-09-13 6:57,BT-A3-2360,"-12,00","100,00","-8,00",O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,IDSRBN5901480KSMJNY9C2085,2025-09-13 6:57,2,,,,,,,,,,2025-09-13 6:57,BT-A3-2360,"-12,00","100,00","-12,00",O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,IDSRBN5901480KSMJNY9C1583,2025-09-13 6:57,3,,,,,,,,,,2025-09-13 6:57,BT-A2-2360,"-18,00","100,00","5,00",O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,IDSRBN5901480KSMJNY9C1572,2025-09-13 6:57,2,,,,,,,,,,2025-09-13 6:57,BT-A2-2360,"-24,00","100,00","2,00",O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,IDSRBN5901480KSMJNY9C1573,2025-09-13 6:57,2,,,,,,,,,,2025-09-13 6:57,BT-A2-2360,"-21,00","100,00","7,00",O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,IDSRBN5901480KSMJNY9C2656,2025-09-13 6:57,2,,,,,,,,,,2025-09-13 6:57,BT-A2-2360,"-21,00","100,00","4,00",O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,IDSRBN5901480KSMJNY9C1777,2025-09-13 6:56,2,,,,,,,,,,2025-09-13 6:56,BT-A3-2360,"-16,00","100,00","-7,00",O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,IDSRBN5901480KSMJNY9C1778,2025-09-13 6:56,2,,,,,,,,,,2025-09-13 6:56,BT-A3-2360,"-11,00","100,00","-10,00",O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,IDSRBN5901480KSMJNY9C1779,2025-09-13 6:56,2,,,,,,,,,,2025-09-13 6:56,BT-A3-2360,"-12,00","100,00","-8,00",O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,IDSRBN5901480KSMJNY9C1780,2025-09-13 6:56,2,,,,,,,,,,2025-09-13 6:56,BT-A3-2360,"-12,00","100,00","-16,00",O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,IDSRBN5901480KSMJNY9C1581,2025-09-13 6:56,2,,,,,,,,,,2025-09-13 6:56,BT-A1-2360,"-24,00","100,00","14,00",O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,IDSRBN5901480KSMJNY9C1583,2025-09-13 6:56,2,,,,,,,,,,2025-09-13 6:56,BT-A1-2360,"-27,00","100,00","15,00",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,IDSRBN5901480KSMJNY9C1582,2025-09-13 6:56,2,,,,,,,,,,2025-09-13 6:56,BT-A1-2360,"-23,00","100,00","23,00",O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,IDSRBN5901480KSMJNY9C1580,2025-09-13 6:56,2,,,,,,,,,,2025-09-13 6:56,BT-A1-2360,"-21,00","100,00","18,00",O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,IDSRBN5901480LSMJNY9C9291,2025-09-13 6:57,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02509E+13,2.02509E+13,3.95,4.2,3.8,0.9,1.5,0.5,,,,,,,,,,O,,,,,,,,,,,,,,,,,,
2,IDSRBN5901480LSMJNY9CB331,2025-09-13 6:56,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02509E+13,2.02509E+13,3.96,4.2,3.8,0.83,1.5,0.5,,,,,,,,,,O,,,,,,,,,,,,,,,,,,
3,IDSRBN5901480LSMJNY9CB022,2025-09-13 6:56,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02509E+13,2.02509E+13,3.96,4.2,3.8,0.87,1.5,0.5,,,,,,,,,,O,,,,,,,,,,,,,,,,,,
4,IDSRBN5901480LSMJNY9CB508,2025-09-13 6:56,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02509E+13,2.02509E+13,3.99,4.2,3.8,0.92,1.5,0.5,,,,,,,,,,O,,,,,,,,,,,,,,,,,,
5,IDSRBN5901480LSMJNY9CB328,2025-09-13 6:56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02509E+13,2.02509E+13,3.96,4.2,3.8,0.86,1.5,0.5,,,,,,,,,,O,,,,,,,,,,,,,,,,,,
6,IDSRBN5901480LSMJNY9CB329,2025-09-13 6:55,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02509E+13,2.02509E+13,3.98,4.2,3.8,0.88,1.5,0.5,,,,,,,,,,O,,,,,,,,,,,,,,,,,,
7,IDSRBN5901480LSMJNY9CB508,2025-09-13 6:55,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02509E+13,2.02509E+13,3.38,4.2,3.8,0.36,1.5,0.5,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
8,IDSRBN5901480LSMJNY9CB022,2025-09-13 6:55,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02509E+13,2.02509E+13,3.22,4.2,3.8,0.21,1.5,0.5,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
